TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.1330.20	-	0.612502096964769	-0.490202912953166	16	1	0.00319488817891374	313	5448	172717	tba-6
3.40.50.1440	-	0.612502096964769	-0.490202912953166	16	1	0.00319488817891374	313	5448	172717	tba-6
1.10.287.600	-	0.634830308237847	-0.454397546923545	17	1	0.00319488817891374	313	5448	172717	tba-6
1.50.40.10	-	0.636349783117548	-0.452006893366724	37	2	0.00638977635782748	313	5448	179315,187678	ucp-4,R07E3.4
3.10.100.10	-	0.649408558193101	-0.431693240784428	225	12	0.0383386581469649	313	5448	188635,184348,183775,173699,175003,178467,184976,184950,180117,184615,189944,180330	clec-183,clec-255,clec-86,clec-126,clec-145,clec-194,clec-216,clec-156,clec-29,clec-221,clec-70,clec-261
3.80.10.10	-	0.663787515511639	-0.409793187478371	116	6	0.0191693290734824	313	5448	183375,176115,187019,183323,178184,181077	lron-4,ran-2,K05C4.4,fbxa-38,ccr-4,K02A6.3
3.40.50.10190	-	0.675712065124909	-0.391988232841361	19	1	0.00319488817891374	313	5448	173252	W04A8.1
1.10.540.10	-	0.694408348715411	-0.364695092788612	20	1	0.00319488817891374	313	5448	173163	acox-1.2
1.20.120.350	-	0.694408348715411	-0.364695092788612	20	1	0.00319488817891374	313	5448	178624	egl-2
2.40.70.10	-	0.694408348715411	-0.364695092788612	20	1	0.00319488817891374	313	5448	182511	asp-9
2.60.40.790	-	0.728638528029613	-0.316577516270182	22	1	0.00319488817891374	313	5448	177777	hsp-12.3
2.60.120.260	-	0.728638528029613	-0.316577516270182	22	1	0.00319488817891374	313	5448	181480	unc-84
1.25.40.20	-	0.737009397007538	-0.305154636524644	86	4	0.012779552715655	313	5448	13188172,177486,181109,177927	F40G9.17,hecd-1,dhhc-14,mask-1
4.10.400.10	-	0.759045360828725	-0.275693739434586	24	1	0.00319488817891374	313	5448	176430	mua-3
3.80.20.20	-	0.761764481975493	-0.272117849842498	47	2	0.00638977635782748	313	5448	184539,182734	irld-30,irld-22
3.30.230.10	-	0.786054681345627	-0.240728919830732	26	1	0.00319488817891374	313	5448	174487	lido-17
2.60.40.640	-	0.79840526872185	-0.225138954906143	27	1	0.00319488817891374	313	5448	189457	arrd-8
3.40.50.1240	-	0.850277363719005	-0.162192672467736	32	1	0.00319488817891374	313	5448	180849	acp-5
3.40.50.1820	-	0.8737371229959	-0.134975723172589	172	7	0.0223642172523962	313	5448	182429,185877,185800,173220,183365,188467,187295	ctsa-3.2,F46G10.4,lips-1,Y48G10A.1,C40H1.2,lips-11,K11E4.1
4.10.410.10	-	0.874768540080162	-0.133795953240268	35	1	0.00319488817891374	313	5448	178891	K11D12.7
3.40.50.620	-	0.882009893668202	-0.125552005727373	36	1	0.00319488817891374	313	5448	174672	gmps-1
4.10.280.10	-	0.901323785083194	-0.103890724016291	39	1	0.00319488817891374	313	5448	181457	mxl-3
2.70.170.10	-	0.923928666151159	-0.0791204114557233	97	3	0.00958466453674121	313	5448	190895,176472,172270	lgc-19,unc-49,avr-14
3.40.50.1000	-	0.938768659036341	-0.0631861996311896	47	1	0.00319488817891374	313	5448	183469	C45E5.1
2.60.40.10	-	0.944137629434184	-0.0574833295713887	198	7	0.0223642172523962	313	5448	186264,180466,192088,172259,191148,180863,181168	F54H5.3,C05D9.9,zig-3,vpr-1,ZC374.2,R07E4.1,fln-2
3.40.50.410	-	0.948810875464763	-0.0525457884679825	50	1	0.00319488817891374	313	5448	176430	mua-3
3.30.420.10	-	0.954575631019381	-0.046488402685712	52	1	0.00319488817891374	313	5448	182229	rnh-1.3
3.60.21.10	-	0.97011027494803	-0.0303455284329839	59	1	0.00319488817891374	313	5448	183199	pph-6
3.90.190.10	-	0.978562165516075	-0.0216709627219629	97	2	0.00638977635782748	313	5448	177510,173945	T12B3.1,cdc-14
2.40.340.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.8.870	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.290.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.150.680	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.2020.30	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.25.40.190	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.10.650	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.1180.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.40.150.20	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.1170.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.1380	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.25.40.1020	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.20.28.130	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.25.40.150	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.1120.50	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.30.110	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.1490.120	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.30.29.220	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.1050.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.1370.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.10.250	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.20.58.610	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.10140	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.379.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.8.720	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
4.10.640.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.8.980	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.60.200.30	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.1810.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.170.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.11860	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.40.37.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.12160	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.40.160.80	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.1370.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.1390.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.455.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.20.1250.40	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.60.40.1490	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.90.1170.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
4.10.1050.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.60.120.820	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.449.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.287.190	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.390.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.420.60	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.20.1300.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.60.40.720	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.3500.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.10.250.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.11840	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.25.40.320	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.20.20.330	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.420.140	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.70.20.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.12190	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.11850	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.170.240.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.40.240.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.20.70.30	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.20.930.40	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.10.250.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.533.30	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.30.170.20	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.1080.20	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.1440.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.25.70.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.90.950.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.60.130.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.20.19.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.90.1110.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.1550.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.1460.20	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.1740.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
4.10.260.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.20.120.1120	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.40.50.10050	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
2.170.150.30	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.50.40.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.20.1260.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.90.470.20	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.720.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.10.3520.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.2260.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
3.30.499.10	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
1.25.40.330	-	0.999999999987535	-1.24654566183158e-11	2	0	0	313	5448
